make,transmission,state,condition,odometer,auction_value,selling_price
chrysler,,mn,,57860.0,9675.0,9700.0
ford,automatic,,4.4,58965.0,13350.0,14300.0
toyota,automatic,wi,4.7,30492.0,17650.0,19800.0
nissan,automatic,ny,4.1,32142.0,9775.0,10000.0
chevrolet,automatic,sc,2.9,,30100.0,36200.0
bmw,automatic,ca,4.6,29115.0,30800.0,30250.0
nissan,automatic,nj,3.9,36582.0,16350.0,16300.0
,automatic,il,3.1,63048.0,21400.0,18400.0
toyota,automatic,,4.6,35152.0,13950.0,13700.0
ford,automatic,nj,3.5,53347.0,14050.0,15000.0
toyota,automatic,tx,3.9,18607.0,15150.0,15300.0
,automatic,mo,2.9,,16450.0,18000.0
bmw,automatic,wi,,865.0,45900.0,44500.0
,automatic,,3.5,38514.0,23700.0,22000.0
ford,automatic,ca,3.9,,11900.0,12500.0
nissan,automatic,oh,3.7,54055.0,15700.0,15500.0
hyundai,automatic,pa,4.1,16864.0,12300.0,12600.0
ford,automatic,mo,4,49750.0,24600.0,25900.0
ford,automatic,ga,,54862.0,13200.0,14000.0
ford,automatic,mi,4.9,,23000.0,22500.0
chevrolet,automatic,fl,3.4,64559.0,14700.0,15000.0
hyundai,automatic,fl,4.2,22190.0,11150.0,11700.0
toyota,automatic,ca,4.4,74887.0,19050.0,19900.0
dodge,automatic,md,2.4,81744.0,9550.0,9000.0
hyundai,automatic,ca,2,24756.0,13750.0,12000.0
nissan,automatic,il,3.5,,15050.0,14300.0
nissan,automatic,ma,2.6,52024.0,11100.0,10800.0
,automatic,mi,2.6,129319.0,27300.0,28000.0
nissan,automatic,oh,2.5,48876.0,13700.0,13100.0
toyota,automatic,ga,2.4,90728.0,8025.0,6800.0
honda,automatic,,4.4,35164.0,,16200.0
nissan,automatic,fl,4.4,34328.0,13400.0,14400.0
ford,automatic,il,4.6,,16800.0,16100.0
ford,automatic,mn,,30613.0,23000.0,22500.0
bmw,automatic,fl,4.1,73472.0,32300.0,27000.0
nissan,automatic,mo,3.8,46755.0,8800.0,9100.0
,automatic,mo,4.1,,9550.0,9700.0
chevrolet,automatic,ca,3.6,9249.0,27300.0,26500.0
hyundai,automatic,fl,4.9,10696.0,17550.0,16700.0
,automatic,oh,3.5,34533.0,14900.0,15800.0
kia,automatic,pr,3.5,19229.0,17550.0,14600.0
nissan,automatic,nv,3.5,60573.0,11750.0,12800.0
bmw,automatic,ca,5,21294.0,21400.0,22000.0
chevrolet,automatic,,4.1,10227.0,,25300.0
chevrolet,automatic,ca,,40411.0,17950.0,17400.0
ford,automatic,fl,4.7,29801.0,11850.0,12800.0
